method,scene,known_psnr,known_ssim,known_lpips,estimated_psnr,estimated_ssim,estimated_lpips,albedo_psnr,normal_mae,depth_rmse,known_psnr_raw,estimated_psnr_ea,known_n_frames,estimated_n_frames
neusky,abandoned_buildings_prepared,15.102487,0.352625,0.718135,15.474167,0.441010,0.680801,15.689079,61.984094,23.700032,11.758029,16.602073,25,25
neusky,apartment_building_prepared,18.415389,0.658197,0.477946,18.433568,0.723071,0.440753,18.141368,22.885876,16.586953,15.449244,19.322212,25,25
neusky,arlanda_uppsala_cathedral_prepared,18.142431,0.541645,0.625602,16.523658,0.598795,0.591520,21.268190,51.921796,19.768372,13.210519,18.680135,25,25
neusky,glass_building_prepared,15.402390,0.511668,0.643962,14.135954,0.563058,0.625776,21.744699,50.236284,36.492472,12.193149,15.824316,25,25
neusky,interstellar_house_prepared,15.647688,0.466260,0.545612,15.108496,0.548602,0.510280,12.358451,45.405496,28.007620,11.282670,16.713405,25,25
neusky,mean,16.542077,0.506079,0.602251,15.935169,0.574907,0.569826,17.840357,46.486709,24.911090,12.778722,17.428428,,
nerf_osr,abandoned_buildings_prepared,14.450055,0.267906,0.654923,13.470030,0.389386,0.588663,17.240457,30.622374,18.850239,10.555836,17.382499,25,25
nerf_osr,apartment_building_prepared,15.424157,0.398089,0.589285,15.052192,0.606853,0.443580,18.171571,28.101629,23.142746,10.503316,19.362486,25,25
nerf_osr,arlanda_uppsala_cathedral_prepared,17.733624,0.318449,0.615097,11.803948,0.437809,0.575567,21.656476,43.641461,18.374603,9.594736,19.415518,25,25
nerf_osr,glass_building_prepared,14.726579,0.344098,0.599525,11.543834,0.446023,0.568287,21.974690,58.501273,46.148853,9.966130,16.237186,25,25
nerf_osr,interstellar_house_prepared,15.082426,0.345379,0.494737,12.092361,0.461284,0.440052,13.109963,31.329581,29.117873,9.948410,17.869973,25,25
nerf_osr,mean,15.483368,0.334784,0.590713,12.792473,0.468271,0.523230,18.430631,38.439264,27.126863,10.113685,18.053532,,
gs_ir,abandoned_buildings_prepared,16.234020,0.555723,0.405620,,,,15.857445,47.340250,19.285462,12.501215,,25,
gs_ir,apartment_building_prepared,16.754449,0.659310,0.408453,,,,16.150420,50.694141,26.037688,12.606972,,25,
gs_ir,arlanda_uppsala_cathedral_prepared,16.939346,0.619973,0.368518,,,,21.168939,56.687720,16.631278,12.825427,,25,
gs_ir,glass_building_prepared,14.804823,0.560817,0.505912,,,,21.411904,65.848760,39.846867,11.809960,,25,
gs_ir,interstellar_house_prepared,15.841976,0.590602,0.387943,,,,11.924028,56.709470,27.485566,11.659177,,25,
gs_ir,mean,16.114923,0.597285,0.415289,,,,17.302547,55.456068,25.857372,12.280550,,,
